"sample_id"	"name"	"description"	"path"	"path_2"	"ncbi_accession"	"ncbi_query"	"ncbi_query_max"	"sequence_type"	"report_group_ids"	"color_by"	"ploidy"	"enabled"	"ref_contextual_usage"	"ref_enabled"	"sra_2"	"Organism"	"Platform"	"ReleaseDate"	"Sample.Name"	"SRA.Study"	"Sample_Name"	"strain"	"geo_loc_name_country"	"geo_loc_name_country_continent"	"geographic_location_.country_and.or_sea."	"Serovar"	"specific_host"	"Collection_Date"	"host_health_state"	"isolation_source"	"ENA_first_public"	"ENA_last_update"	"external_id"	"Scientific_Name"	"Submitter_Id"	"SRA_accession"	"Title"	"ref_ids"
"ERR025675"	"ERR025675"	"ERR025675"	""	""	"ERR025675"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882249"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882249"	"ERP000165"	"ERS011786"	"08-0345m"	"Viet Nam"	"Asia"	"Viet Nam"	"08-0345m"	"Homo sapiens"	"2008"	"diseased"	"sterile"	""	""	""	""	""	"ERS011786"	"Klebsiella pneumoniae"	""
"ERR025112"	"ERR025112"	"ERR025112"	""	""	"ERR025112"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882261"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882261"	"ERP000165"	"DU46543_08-sc-2010-06-22-227656"	"DU46543/08"	"Singapore"	"Asia"	"Singapore"	"DU46543/08"	"Homo sapiens"	"2008"	"diseased"	"urine"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882261"	"Klebsiella pneumoniae"	"DU46543_08-sc-2010-06-22-227656"	""	""	""
"ERR025470"	"ERR025470"	"ERR025470"	""	""	"ERR025470"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882209"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882209"	"ERP000165"	"07_2034m-sc-2010-06-22-227532"	"07-2034m"	"Viet Nam"	"Asia"	"Viet Nam"	"07-2034m"	"Homo sapiens"	"2007"	"diseased"	"sterile"	"2011-02-14T17:17:43Z"	"2018-03-09T09:52:28Z"	"SAMEA882209"	"Klebsiella pneumoniae"	"07_2034m-sc-2010-06-22-227532"	""	""	""
"ERR025478"	"ERR025478"	"ERR025478"	""	""	"ERR025478"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882242"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882242"	"ERP000165"	"ERS011817"	"K77An"	"Viet Nam"	"Asia"	"Viet Nam"	"K77An"	"Homo sapiens"	"2004"	"healthy"	"intestinal"	""	""	""	""	""	"ERS011817"	"Klebsiella pneumoniae"	""
"ERR025998"	"ERR025998"	"ERR025998"	""	""	"ERR025998"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882145"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882145"	"ERP000165"	"2024_0-sc-2010-06-22-227784"	"2024"	"Indonesia"	"Asia"	"Indonesia"	"2024"	"Homo sapiens"	"2005"	"diseased"	"sterile"	"2011-02-14T17:17:45Z"	"2018-03-09T09:52:30Z"	"SAMEA882145"	"Klebsiella pneumoniae"	"2024_0-sc-2010-06-22-227784"	""	""	""
"ERR025562"	"ERR025562"	"ERR025562"	""	""	"ERR025562"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882119"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882119"	"ERP000165"	"K231An-sc-2010-06-22-227558"	"QMP B2-211"	"USA"	"North America"	"USA"	"QMP B2-211"	"Bovine"	"2006"	"diseased"	"sterile"	"2011-02-14T17:17:43Z"	"2018-03-09T09:52:29Z"	"SAMEA882119"	"Klebsiella pneumoniae"	"K231An-sc-2010-06-22-227558"	""	""	""
"ERR025118"	"ERR025118"	"ERR025118"	""	""	"ERR025118"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882238"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882238"	"ERP000165"	"DB270_04-sc-2010-06-22-227651"	"DB270/04"	"Singapore"	"Asia"	"Singapore"	"DB270/04"	"Homo sapiens"	"2004"	"diseased"	"sterile"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882238"	"Klebsiella pneumoniae"	"DB270_04-sc-2010-06-22-227651"	""	""	""
"ERR025472"	"ERR025472"	"ERR025472"	""	""	"ERR025472"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882195"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882195"	"ERP000165"	"08_475T-sc-2010-06-22-227534"	"08-475T"	"Viet Nam"	"Asia"	"Viet Nam"	"08-475T"	"Homo sapiens"	"2009"	"diseased"	"sterile"	"2011-02-14T17:17:43Z"	"2018-03-09T09:52:29Z"	"SAMEA882195"	"Klebsiella pneumoniae"	"08_475T-sc-2010-06-22-227534"	""	""	""
"ERR025119"	"ERR025119"	"ERR025119"	""	""	"ERR025119"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882235"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882235"	"ERP000165"	"ERS011919"	"DU8882/04"	"Singapore"	"Asia"	"Singapore"	"DU8882/04"	"Homo sapiens"	"2004"	"diseased"	"urine"	""	""	""	""	""	"ERS011919"	"Klebsiella pneumoniae"	""
"ERR025602"	"ERR025602"	"ERR025602"	""	""	"ERR025602"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882130"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882130"	"ERP000165"	"ERS011981"	"QMP M1-964"	"USA"	"North America"	"USA"	"QMP M1-964"	"Homo sapiens"	"2007"	"diseased"	"intestinal biopsy"	""	""	""	""	""	"ERS011981"	"Klebsiella pneumoniae"	""
